Date,Product,Region,Price,Quantity
01-01-2026,Laptop,North,50000,1
02-01-2026,Phone,South,20000,2
03-01-2026,Tablet,West,15000,1
04-01-2026,Laptop,East,50000,3
05-01-2026,Phone,North,20000,1
06-01-2026,Tablet,South,15000,2
07-01-2026,Laptop,West,50000,1
08-01-2026,Phone,East,20000,3
09-01-2026,Tablet,North,15000,2
10-01-2026,Laptop,South,50000,2
11-01-2026,Phone,West,20000,1
12-01-2026,Tablet,East,15000,3
13-01-2026,Laptop,North,50000,2
14-01-2026,Phone,South,20000,2
15-01-2026,Tablet,West,15000,1
16-01-2026,Laptop,East,50000,1
17-01-2026,Phone,North,20000,3
18-01-2026,Tablet,South,15000,2
19-01-2026,Laptop,West,50000,2
20-01-2026,Phone,East,20000,1
21-01-2026,Tablet,North,15000,3
22-01-2026,Laptop,South,50000,1
23-01-2026,Phone,West,20000,2
24-01-2026,Tablet,East,15000,2
25-01-2026,Laptop,North,50000,3
26-01-2026,Phone,South,20000,1
27-01-2026,Tablet,West,15000,2
28-01-2026,Laptop,East,50000,2
29-01-2026,Phone,North,20000,2
30-01-2026,Tablet,South,15000,1
